"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","WCPM"
"5kid","KT Rolster Challengers","ADC",11,"55%","64%",60,21,71,6.2,"74.4%","34.1%","15.2%","27%",121,87,5.4,9.6,"34.8%",536,"27.2%",,318,"28.2%",,0.45,0.35
"Asper","T1 Challengers","Support",18,"83%","50%",17,46,211,5,"72.2%","5.4%","25.7%","39%",39,11,-0.4,1.1,"2.5%",165,"8.5%",,120,"9.6%",,1.52,0.45
"Baut","Hanwha Life Esports Challengers","Support",19,"63%","58%",13,48,141,3.2,"63.9%","5.4%","20.9%","21%",-69,-164,2.8,1.5,"3.8%",136,"7.6%",,104,"9.1%",,1.42,0.33
"Berserker","T1 Challengers","ADC",18,"83%","44%",117,25,113,9.2,"72.8%","37.0%","14.0%","39%",214,257,5.1,9.9,"32.6%",515,"26.8%",,352,"28.2%",,0.49,0.42
"Bini","Fredit BRION Challengers","ADC",19,"42%","68%",116,40,86,5.1,"72.4%","41.6%","15.2%","26%",-158,-304,-8.3,8.5,"31.9%",543,"27.2%",,308,"28.5%",,0.48,0.27
"Bull","Nongshim RedForce Challengers","ADC",20,"45%","50%",76,47,107,3.9,"67.3%","27.9%","15.0%","25%",-47,-101,3.5,9.7,"32.2%",432,"21.5%",,307,"27.2%",,0.47,0.43
"Burry","Kwangdong Freecs Challengers","Jungle",18,"11%","50%",25,47,85,2.3,"81.5%","18.5%","18.1%","11%",-400,-365,-8.8,5.5,"15.6%",228,"14.3%",,168,"17.8%",,0.64,0.52
"CaD","Hanwha Life Esports Challengers","Jungle",19,"63%","74%",27,69,125,2.2,"63.1%","11.2%","30.0%","26%",-239,-239,-3.1,5.7,"15.5%",228,"13.1%",,194,"17.2%",,0.5,0.38
"Castle","KT Rolster Challengers","Top",18,"56%","44%",42,33,121,4.9,"58.6%","15.1%","15.7%","0%",-20,76,-4.9,6.9,"20.3%",378,"20.6%",,218,"18.7%",,0.5,0.22
"Chasy","DWG KIA Challengers","Top",9,"22%","56%",26,21,37,3,"72.4%","29.9%","15.7%","22%",460,90,7.3,8.2,"26.0%",535,"35.0%",,256,"25.2%",,0.4,0.21
"Cheoni","Hanwha Life Esports Challengers","ADC",19,"63%","26%",85,36,75,4.4,"66.4%","35.3%","15.7%","16%",-142,-101,-2.8,9,"29.9%",394,"21.7%",,292,"25.5%",,0.49,0.2
"Clear","DRX Challengers","Top",18,"50%","67%",44,52,108,2.9,"59.1%","17.1%","18.7%","0%",-13,50,4.3,7.7,"21.3%",370,"21.0%",,241,"20.4%",,0.31,0.2
"Cow","DWG KIA Challengers","Support",9,"22%","56%",4,41,44,1.2,"55.2%","4.6%","30.6%","11%",-84,-203,2.3,1.1,"2.8%",111,"6.8%",,85,"8.2%",,1.37,0.31
"Cruiser","Liiv SANDBOX Challengers","Middle",1,"0%","0%",1,4,5,1.5,"85.7%","14.3%","18.2%","0%",-334,-289,-14,6.9,"17.4%",139,"11.7%",,179,"19.0%",,0.47,0.5
"Dice","Gen.G Challengers","Middle",4,"50%","75%",16,14,26,3,"66.7%","25.4%","22.2%","50%",71,-124,-5.3,8.2,"26.0%",397,"22.2%",,268,"23.6%",,0.36,0.22
"DnDn","Nongshim RedForce Challengers","Top",20,"45%","70%",50,61,122,2.8,"63.2%","18.4%","19.4%","20%",-170,-72,-9.1,7.4,"22.2%",497,"25.1%",,236,"20.8%",,0.35,0.19
"Eign","DRX Challengers","Middle",18,"50%","56%",56,51,104,3.1,"62.3%","21.8%","18.3%","22%",-82,-20,2.6,8.3,"22.5%",429,"24.4%",,259,"22.0%",,0.34,0.22
"Envyy","Gen.G Challengers","ADC",19,"68%","58%",102,52,110,4.1,"73.9%","35.5%","21.3%","42%",299,184,10.9,9.5,"31.7%",544,"27.1%",,324,"28.1%",,0.35,0.3
"FIESTA","Nongshim RedForce Challengers","Middle",20,"45%","70%",65,73,122,2.6,"68.8%","23.9%","23.2%","10%",94,188,4.4,8.6,"25.1%",573,"28.5%",,265,"23.5%",,0.4,0.2
"GIDEON","KT Rolster Challengers","Jungle",9,"56%","44%",37,20,62,5,"71.2%","26.6%","18.9%","67%",251,-61,-1.6,6.6,"18.7%",350,"19.2%",,246,"20.8%",,0.58,0.51
"Harp","KT Rolster Challengers","Support",17,"59%","53%",16,53,195,4,"77.6%","5.9%","26.9%","35%",36,-118,0.3,1.1,"2.3%",202,"10.5%",,111,"9.5%",,1.54,0.38
"Howling","Liiv SANDBOX Challengers","Top",13,"38%","62%",19,24,49,2.8,"47.6%","13.3%","14.7%","0%",303,409,7.8,8.4,"23.2%",327,"20.5%",,235,"21.2%",,0.37,0.22
"Ice","Liiv SANDBOX Challengers","ADC",7,"29%","57%",23,18,16,2.2,"76.5%","45.1%","19.6%","14%",-300,11,-1.1,9.5,"30.4%",335,"22.4%",,283,"26.5%",,0.42,0.3
"JeongHoon","Fredit BRION Challengers","Support",19,"42%","47%",8,64,190,3.1,"71.0%","2.9%","24.2%","32%",59,104,-0.9,1.1,"3.1%",207,"10.6%",,103,"9.4%",,1.69,0.33
"Jin0","Fredit BRION Challengers","Jungle",19,"42%","84%",62,60,132,3.2,"69.5%","22.2%","22.7%","47%",-162,-407,-8,5.4,"17.2%",333,"17.7%",,206,"19.1%",,0.44,0.45
"Jool","DWG KIA Challengers","Middle",18,"33%","39%",27,56,86,2,"68.5%","16.4%","22.8%","28%",-100,-75,-4.2,7.9,"21.9%",340,"22.4%",,223,"21.4%",,0.49,0.13
"Jun","DRX Challengers","Support",18,"50%","61%",25,63,138,2.6,"63.4%","9.7%","22.7%","28%",189,240,2.9,1.5,"3.8%",186,"10.5%",,116,"9.9%",,1.7,0.4
"Junmin","DWG KIA Challengers","ADC",18,"33%","56%",44,44,47,2.1,"55.2%","26.7%","17.9%","11%",-285,-128,-8.6,9.2,"31.6%",295,"19.2%",,262,"25.2%",,0.57,0.4
"Kabbie","Liiv SANDBOX Challengers","Support",13,"62%","23%",9,24,92,4.2,"66.0%","5.9%","19.5%","31%",114,71,-0.7,1.1,"2.7%",191,"10.4%",,102,"8.9%",,1.73,0.42
"Kael","Gen.G Challengers","Support",19,"68%","47%",12,66,204,3.3,"75.3%","4.2%","27.0%","53%",-33,217,-5.4,1,"2.3%",160,"8.3%",,99,"8.6%",,1.85,0.35
"Keine","Kwangdong Freecs Challengers","Middle",9,"11%","44%",15,20,30,2.3,"72.6%","24.2%","18.3%","22%",-121,-104,0,8.9,"25.6%",379,"26.2%",,233,"23.9%",,0.47,0.21
"Keshi","DWG KIA Challengers","Support",3,"67%","0%",1,7,19,2.9,"58.8%","2.9%","21.2%","0%",50,-174,2,1.1,"2.6%",166,"9.9%",,100,"8.2%",,1.74,0.42
"KingKong","Liiv SANDBOX Challengers","ADC",12,"58%","50%",43,17,47,5.3,"57.3%","27.4%","13.5%","8%",75,215,1.8,9.6,"31.2%",396,"22.6%",,299,"26.1%",,0.6,0.39
"Lonely","Gen.G Challengers","Top",19,"68%","53%",47,41,138,4.5,"64.5%","16.4%","16.8%","21%",-18,-103,-1.5,7.7,"22.5%",431,"22.8%",,234,"20.2%",,0.41,0.24
"Lukalux","Fredit BRION Challengers","Top",19,"42%","16%",25,53,123,2.8,"53.0%","9.0%","20.1%","16%",-292,-205,-12.1,6.4,"19.2%",351,"18.7%",,195,"18.3%",,0.37,0.18
"Malrang","DWG KIA Challengers","Jungle",18,"33%","61%",46,37,78,3.4,"75.2%","27.9%","15.0%","28%",133,89,0.7,6.4,"17.4%",306,"19.8%",,212,"20.5%",,0.52,0.42
"MapSSi","Kwangdong Freecs Challengers","Support",8,"13%","25%",4,28,42,1.6,"71.9%","6.3%","22.2%","0%",-216,-75,-1.8,1.2,"3.6%",163,"10.1%",,81,"8.7%",,1.57,0.38
"Mask","Hanwha Life Esports Challengers","Middle",19,"63%","79%",74,41,109,4.5,"75.9%","30.7%","17.8%","16%",65,185,4.1,9.6,"29.3%",633,"35.6%",,297,"25.9%",,0.37,0.34
"Minit","Kwangdong Freecs Challengers","Support",10,"10%","60%",8,30,45,1.8,"74.6%","11.3%","22.4%","10%",52,78,-0.4,1.1,"3.2%",168,"10.8%",,94,"9.8%",,1.42,0.31
"Mireu","T1 Challengers","Middle",18,"83%","22%",76,40,134,5.3,"66.5%","24.1%","22.3%","44%",172,-23,0.8,8.3,"24.0%",470,"24.3%",,282,"22.8%",,0.41,0.2
"Mowgli","T1 Challengers","Jungle",18,"83%","61%",62,35,155,6.2,"68.7%","19.6%","19.6%","50%",-25,-3,-2.8,6.2,"17.8%",344,"17.4%",,234,"18.9%",,0.36,0.42
"Muru","DWG KIA Challengers","Support",6,"33%","50%",1,16,18,1.2,"43.2%","2.3%","20.3%","0%",-224,-535,-2.7,1.1,"2.2%",103,"7.5%",,69,"6.9%",,1.74,0.3
"Noah","KT Rolster Challengers","ADC",7,"57%","43%",35,15,39,4.9,"72.5%","34.3%","20.8%","57%",364,264,5,9.9,"34.0%",454,"26.2%",,336,"28.9%",,0.39,0.34
"Ophelia","Gen.G Challengers","Middle",15,"73%","60%",42,34,117,4.7,"71.0%","18.8%","18.8%","27%",-99,-255,-3.5,8.3,"24.0%",520,"24.5%",,265,"22.9%",,0.44,0.22
"PangSu","KT Rolster Challengers","Jungle",9,"56%","33%",29,17,75,6.1,"74.8%","20.9%","16.3%","22%",192,291,5.4,5.9,"17.1%",307,"16.5%",,216,"20.0%",,0.57,0.54
"Peach","DRX Challengers","Jungle",18,"50%","56%",44,60,130,2.9,"67.7%","17.1%","21.6%","33%",90,342,9.7,7.3,"21.4%",345,"19.4%",,240,"20.5%",,0.42,0.5
"Photon","Liiv SANDBOX Challengers","Top",6,"67%","50%",8,19,30,2,"58.5%","12.3%","34.5%","0%",-127,100,-3.3,7.3,"21.4%",362,"21.1%",,211,"19.0%",,0.43,0.21
"Prove","Liiv SANDBOX Challengers","Support",6,"17%","83%",3,25,38,1.6,"74.5%","5.5%","26.3%","17%",-256,-297,2.5,1.2,"2.6%",103,"7.7%",,87,"8.0%",,1.74,0.39
"Rebel","KT Rolster Challengers","Support",1,"0%","100%",0,4,4,1,"66.7%","0.0%","30.8%","100%",227,-101,8,0.8,"0.8%",156,"12.5%",,64,"7.1%",,1.55,0.13
"Riss","Hanwha Life Esports Challengers","Top",19,"63%","37%",42,36,87,3.6,"53.5%","17.4%","15.7%","5%",148,72,6.8,7.8,"21.5%",401,"22.0%",,251,"22.2%",,0.34,0.15
"Roach","T1 Challengers","Top",18,"83%","61%",44,33,137,5.5,"57.3%","13.9%","18.4%","11%",242,49,9.8,8.1,"23.0%",436,"23.0%",,252,"20.4%",,0.38,0.24
"Roamer","Fredit BRION Challengers","Middle",19,"42%","32%",68,47,143,4.5,"75.6%","24.4%","17.8%","32%",-115,-16,-6.1,8.2,"28.5%",506,"25.9%",,267,"24.7%",,0.35,0.19
"Seize","Liiv SANDBOX Challengers","Jungle",19,"47%","37%",68,51,92,3.1,"76.9%","32.7%","23.4%","32%",195,220,4.5,6.5,"17.0%",325,"19.9%",,227,"20.4%",,0.48,0.46
"Storm","Kwangdong Freecs Challengers","Middle",9,"11%","22%",19,31,25,1.4,"60.3%","26.0%","20.5%","11%",-282,-257,-13,7.7,"23.4%",379,"21.0%",,219,"23.1%",,0.35,0.15
"Sylvie","Nongshim RedForce Challengers","Jungle",20,"45%","20%",63,63,141,3.2,"75.0%","23.2%","20.1%","30%",54,75,3.9,6.3,"17.6%",350,"17.6%",,217,"19.3%",,0.42,0.44
"Taeyoon","DRX Challengers","ADC",18,"50%","33%",88,52,90,3.4,"69.3%","34.2%","18.7%","28%",92,-25,-1.3,9.6,"31.0%",439,"24.7%",,319,"27.2%",,0.67,0.5
"Thanatos","DWG KIA Challengers","Top",9,"44%","22%",16,24,26,1.8,"53.8%","20.5%","21.4%","11%",-110,-46,7.1,9.1,"27.0%",384,"27.3%",,268,"25.2%",,0.33,0.18
"TolanD","Liiv SANDBOX Challengers","Middle",18,"50%","56%",34,36,100,3.7,"66.7%","16.9%","18.4%","22%",41,48,4.8,9.4,"27.4%",453,"28.3%",,273,"24.4%",,0.47,0.27
"Trap","Kwangdong Freecs Challengers","Top",18,"11%","56%",26,58,59,1.5,"63.0%","19.3%","22.3%","6%",-199,-195,-3.8,8,"25.3%",434,"26.5%",,221,"23.2%",,0.48,0.2
"Valkyrie","Kwangdong Freecs Challengers","ADC",18,"11%","56%",38,46,57,2.1,"70.4%","28.1%","17.7%","0%",-116,-64,-4.9,9,"31.2%",411,"25.2%",,254,"26.2%",,0.51,0.38
"VicLa","KT Rolster Challengers","Middle",18,"56%","50%",59,47,123,3.9,"65.5%","21.2%","22.4%","33%",203,119,4.7,8.3,"25.1%",446,"24.1%",,263,"23.0%",,0.59,0.2
"YoungJae","Gen.G Challengers","Jungle",19,"68%","21%",68,37,148,5.8,"75.3%","23.7%","15.2%","47%",131,177,1.7,6.5,"19.1%",336,"17.8%",,229,"20.0%",,0.73,0.62
"Yusin","Nongshim RedForce Challengers","Support",20,"45%","50%",18,70,173,2.7,"70.2%","6.6%","22.3%","25%",-45,42,0.4,1.2,"2.9%",150,"7.3%",,104,"9.2%",,1.65,0.38